EID,Uname,Pword,Name,Rank
1,bigboss,password13,Andrea Paulson,M
2,littleman,iknowthings,Emma Roberts,E
3,workerbee,onlyonce,Robyn Hill,E
4,sohappy,sometimestwice,Weiss Schnee,E
5,bunnytime,thricetimes,Kibo Pearson,M
6,Woohoo time,lolorito,Jerome Timmons,E
7,23tyyou,gastonwasright,John SMith,E
8,kingtut22,ututuew,Tracy Potter,M
9,yuutahari,37bf93,Ned Blander,E
10,robertE,robertE,Robert Edwards,E
11,Okay,Boil,Patrick star,M
12,Freddy,Scarily,Freddy Roberts,E
13,FirstClass,Soldier,Cloud Strife,E
14,LocalFlorist,Holy,Aerith Gainsborough,E
15,DownWithShinra,Dadada,Barret Wallace,M
